tic,skor,ara60,ever,harga,likuid
KOKA,0.7060723514211886,1.0,11,187.0,2079854600.0
NIKL,0.7038113695090438,0.0,6,216.0,1201713450.0
PGJO,0.70187338501292,0.0,0,880.0,617329500.0
MEDC,0.7018733850129198,0.0,0,1460.0,79660366250.0
FIRE,0.6999354005167959,0.0,9,124.0,3182097800.0
KBLI,0.6996124031007752,0.0,0,366.0,341400000.0
SMBR,0.6996124031007752,0.0,1,172.0,841589900.0
RSGK,0.6992894056847545,0.0,0,1075.0,24656250.0
SMIL,0.6986434108527132,0.0,6,426.0,17056705800.0
VRNA,0.6979974160206719,1.0,1,85.0,275388050.0
MGLV,0.6967054263565892,0.0,0,14400.0,17227711250.0
FISH,0.6963824289405685,0.0,8,650.0,29211000.0
TMPO,0.6912144702842378,2.0,8,151.0,3524952700.0
AALI,0.6912144702842377,0.0,0,8600.0,14447871250.0
INAI,0.6895994832041343,1.0,7,182.0,191526250.0
TAPG,0.6883074935400517,0.0,0,2210.0,36539443000.0
NAYZ,0.687984496124031,0.0,0,75.0,2142528550.0
JAST,0.6876614987080103,0.0,2,89.0,1207949150.0
OBMD,0.6876614987080103,0.0,2,200.0,161701150.0
CUAN,0.6876614987080103,0.0,7,925.0,392367683750.0
MMLP,0.687015503875969,0.0,0,338.0,203449900.0
INDR,0.687015503875969,0.0,1,2880.0,83212500.0
TRUS,0.6866925064599483,2.0,6,442.0,46282400.0
FAST,0.6857235142118863,0.0,10,426.0,7153556200.0
SMKL,0.6847545219638242,0.0,1,160.0,25683600.0
ESTI,0.6841085271317829,1.0,7,160.0,579422300.0
GULA,0.6815245478036176,0.0,7,815.0,19841922250.0
CBPE,0.6799095607235143,1.0,6,505.0,67316600.0
MBMA,0.6789405684754521,0.0,2,545.0,59601216900.0
BFIN,0.6753875968992249,0.0,1,965.0,16163277500.0
IMJS,0.6744186046511629,0.0,6,189.0,747509300.0
DSNG,0.6737726098191215,0.0,0,1690.0,7401259250.0
CINT,0.6702196382428941,0.0,4,195.0,39655900.0
ABDA,0.6695736434108527,0.0,2,4960.0,15899000.0
PURI,0.6689276485788114,0.0,8,159.0,1101494850.0
OLIV,0.6686046511627908,0.0,0,56.0,831598600.0
PDPP,0.6686046511627907,0.0,0,340.0,62901400.0
EMAS,0.6666666666666667,0.0,1,7650.0,127957977500.0
LTLS,0.6640826873385013,0.0,0,1010.0,165744500.0
NINE,0.6618217054263565,0.0,0,85.0,1080016050.0
WOMF,0.6618217054263565,0.0,0,280.0,81957500.0
DFAM,0.6611757105943152,0.0,6,92.0,959748850.0
HRTA,0.6608527131782946,0.0,2,2200.0,17987263500.0
BOLA,0.6608527131782945,0.0,0,174.0,191413650.0
NIRO,0.6582687338501292,0.0,5,178.0,66298250.0
TINS,0.6579457364341086,0.0,0,4750.0,203437569000.0
PTBA,0.6572997416020672,0.0,0,3090.0,113185215000.0
BUMI,0.6540697674418604,0.0,0,193.0,643086229550.0
JSPT,0.6511627906976745,0.0,16,1465.0,34701250.0
SHIP,0.6489018087855297,0.0,4,2720.0,266611500.0
WINS,0.648578811369509,0.0,0,610.0,1385599500.0
DSFI,0.6479328165374678,0.0,0,92.0,575631850.0
LION,0.6447028423772609,0.0,23,370.0,27371400.0
DIVA,0.6434108527131783,0.0,9,142.0,373872350.0
MARK,0.6414728682170543,0.0,1,1180.0,14713145500.0
IFII,0.6408268733850129,0.0,1,210.0,15866800.0
NFCX,0.6408268733850129,0.0,1,1700.0,16447750.0
PART,0.6395348837209303,0.0,2,110.0,1076912850.0
ANTM,0.6385658914728682,0.0,0,3340.0,363508885000.0
URBN,0.6382428940568475,0.0,1,230.0,30909100.0
NEST,0.6382428940568475,0.0,2,740.0,3678334750.0
MAPI,0.6379198966408268,0.0,0,1500.0,6635606000.0
NOBU,0.6363049095607235,0.0,2,530.0,1080707350.0
SNLK,0.6350129198966408,0.0,0,250.0,3457420400.0
ASRM,0.6340439276485788,0.0,0,290.0,4665100.0
MMIX,0.6330749354005167,2.0,8,860.0,21984072750.0
UCID,0.62984496124031,0.0,0,510.0,660482500.0
SWID,0.6291989664082688,0.0,4,124.0,1186511800.0
RUNS,0.6272609819121446,0.0,0,68.0,69842700.0
FITT,0.625,0.0,16,440.0,601147100.0
PEGE,0.6243540051679587,1.0,15,132.0,2638571950.0
GEMA,0.6227390180878554,0.0,1,91.0,245304050.0
LMAX,0.6224160206718345,0.0,0,107.0,81972500.0
IBOS,0.622093023255814,0.0,0,90.0,1057965150.0
PTRO,0.6217700258397933,0.0,2,5325.0,219966207500.0
HYGN,0.6217700258397933,0.0,0,183.0,348184850.0
DGNS,0.6211240310077519,0.0,3,278.0,231456900.0
CRAB,0.6162790697674418,0.0,0,226.0,106681200.0
AMAR,0.6159560723514212,0.0,1,240.0,92924700.0
CARS,0.6153100775193799,0.0,0,114.0,704855350.0
APII,0.6136950904392765,0.0,0,200.0,14478950.0
MDIA,0.6136950904392765,1.0,2,191.0,45025410750.0
KUAS,0.6127260981912144,0.0,3,100.0,1834357050.0
POLI,0.6120801033591731,0.0,0,925.0,26251000.0
RMKO,0.6114341085271319,2.0,16,322.0,2481213600.0
TOTL,0.6114341085271318,0.0,1,1545.0,6719605000.0
INTD,0.6107881136950905,0.0,7,246.0,111607200.0
DART,0.6104651162790697,1.0,5,168.0,160580750.0
KOPI,0.6101421188630491,0.0,8,210.0,140351900.0
MTEL,0.6101421188630491,0.0,0,500.0,13746529100.0
CBUT,0.6049741602067182,0.0,4,1035.0,185379250.0
SBMA,0.6046511627906976,0.0,0,117.0,117408800.0
GZCO,0.6040051679586564,0.0,3,188.0,4498098600.0
TLDN,0.6030361757105944,0.0,0,620.0,872127250.0
EPMT,0.6027131782945736,0.0,0,2650.0,117622000.0
DKHH,0.599483204134367,0.0,1,68.0,1036304250.0
BIPP,0.5985142118863049,0.0,2,67.0,931041000.0
HDFA,0.5968992248062016,0.0,2,102.0,69535050.0
AMMS,0.5968992248062016,0.0,0,218.0,134496250.0
BSIM,0.5956072351421189,1.0,3,1020.0,354464000.0
MDKA,0.5943152454780362,0.0,1,2900.0,91147891000.0
PADA,0.5923772609819121,0.0,4,194.0,9887884750.0
BMAS,0.5901162790697674,0.0,1,505.0,128315150.0
HAJJ,0.5881782945736433,0.0,0,112.0,790059000.0
MPOW,0.5859173126614987,0.0,5,114.0,740140850.0
INTP,0.5859173126614987,0.0,0,5200.0,5154341250.0
HOPE,0.5813953488372092,0.0,3,226.0,13169774400.0
TKIM,0.5791343669250646,0.0,2,7525.0,24966185000.0
SMAR,0.578811369509044,0.0,1,6225.0,703247500.0
SMGA,0.5784883720930233,0.0,0,86.0,1198569550.0
UNIQ,0.5784883720930232,0.0,1,122.0,199056700.0
INDY,0.5771963824289406,0.0,2,2730.0,65340999500.0
COIN,0.5739664082687339,1.0,10,755.0,34369686500.0
MAHA,0.5723514211886305,0.0,1,148.0,616829500.0
KLIN,0.5720284237726099,0.0,0,118.0,17716100.0
STAA,0.5684754521963824,0.0,0,1200.0,6214924250.0
BDKR,0.5684754521963824,0.0,4,159.0,1124001400.0
INKP,0.5662144702842378,0.0,0,8625.0,33547925000.0
HALO,0.5658914728682171,0.0,2,72.0,709105450.0
PORT,0.5636304909560723,0.0,5,960.0,24708000.0
SLIS,0.5636304909560723,0.0,5,88.0,3135804850.0
LINK,0.5607235142118863,0.0,4,1745.0,51874750.0
ASLC,0.5591085271317828,0.0,1,66.0,488390200.0
SMGR,0.5578165374677002,0.0,0,1550.0,35241825250.0
DAYA,0.5565245478036176,0.0,0,1075.0,8422750.0
BINO,0.5555555555555556,0.0,2,115.0,64950150.0
ERAL,0.5539405684754523,0.0,0,324.0,2541008600.0
RCCC,0.5529715762273902,0.0,0,115.0,92349050.0
BELI,0.5516795865633075,2.0,2,280.0,528637800.0
CBDK,0.5494186046511629,0.0,0,3750.0,10240435500.0
ESTA,0.5494186046511628,0.0,5,182.0,162125550.0
HELI,0.5487726098191215,0.0,11,208.0,240094750.0
TMAS,0.5487726098191215,0.0,0,144.0,1043438300.0
BBRI,0.5484496124031008,0.0,0,3310.0,511530854500.0
AISA,0.54812661498708,0.0,1,120.0,464572050.0
MEJA,0.5478036175710594,0.0,0,112.0,3463418650.0
DSSA,0.5474806201550387,0.0,3,1060.0,426503500750.0
DOID,0.5468346253229974,0.0,0,234.0,1023709500.0
APLI,0.5419896640826873,0.0,2,284.0,94230500.0
VERN,0.5410206718346253,0.0,0,230.0,2164812900.0
CPIN,0.5397286821705426,0.0,0,3150.0,89720855000.0
AUTO,0.5377906976744187,0.0,0,3360.0,9947487500.0
MTWI,0.536498708010336,0.0,0,272.0,16891900.0
LOPI,0.5361757105943152,0.0,0,64.0,825664400.0
INPC,0.5348837209302325,0.0,3,152.0,1203296800.0
BNGA,0.5342377260981912,0.0,0,1765.0,4005012500.0
GOLF,0.5335917312661499,0.0,2,174.0,423642050.0
PRDA,0.5332687338501292,0.0,0,2810.0,2300966500.0
KPIG,0.5326227390180879,0.0,1,68.0,17935236350.0
ALDO,0.5316537467700259,1.0,1,955.0,62701000.0
TOOL,0.5300387596899224,0.0,1,71.0,2164922900.0
BSDE,0.5290697674418605,0.0,0,605.0,11276298750.0
AMIN,0.5287467700258397,0.0,3,260.0,18719700.0
PSSI,0.5271317829457365,0.0,0,358.0,102636400.0
ARII,0.5268087855297158,0.0,6,284.0,52081200.0
CFIN,0.5268087855297158,0.0,0,374.0,924714100.0
UNTR,0.5264857881136951,0.0,0,24825.0,89218191250.0
BDMN,0.5258397932816538,0.0,1,4400.0,7639914500.0
BUKK,0.5242248062015504,0.0,9,1030.0,54050250.0
PTPS,0.523578811369509,0.0,0,161.0,351966300.0
SIPD,0.5229328165374677,0.0,0,870.0,23660750.0
BABY,0.522609819121447,1.0,10,202.0,452330000.0
OBAT,0.5219638242894057,0.0,2,246.0,90829600.0
CLEO,0.5209948320413437,0.0,0,422.0,5599266100.0
PRAY,0.5203488372093024,0.0,0,720.0,7528500.0
SRAJ,0.5200258397932817,1.0,6,12900.0,25173750.0
PSDN,0.519702842377261,0.0,8,135.0,804838300.0
DMAS,0.5193798449612403,0.0,0,192.0,69597171350.0
MYOH,0.5193798449612403,0.0,0,1045.0,104241500.0
PRIM,0.5193798449612402,0.0,2,120.0,535207100.0
RBMS,0.517764857881137,1.0,1,61.0,991134350.0
ARTA,0.5177648578811369,0.0,2,2150.0,3556500.0
ADMG,0.5174418604651162,0.0,0,248.0,291702200.0
BINA,0.5167958656330749,0.0,0,4060.0,923992000.0
ASGR,0.5161498708010337,0.0,1,2120.0,2047100000.0
LRNA,0.5161498708010336,0.0,4,216.0,42740250.0
SKRN,0.5161498708010336,0.0,4,408.0,73873700.0
SDMU,0.5151808785529716,1.0,2,92.0,1478176100.0
STAR,0.514857881136951,2.0,9,380.0,43925600.0
ITMA,0.5142118863049095,0.0,5,1455.0,87937500.0
IFSH,0.5132428940568475,0.0,13,1025.0,8894000.0
YULE,0.5129198966408268,0.0,0,3600.0,4575500.0
EMDE,0.5122739018087855,0.0,1,77.0,622676550.0
CITY,0.5100129198966409,0.0,10,177.0,145424700.0
MIKA,0.5093669250645995,0.0,0,1725.0,7312577750.0
TRGU,0.5090439276485789,0.0,0,170.0,53365150.0
DKFT,0.5090439276485788,0.0,0,685.0,3662551250.0
SRTG,0.5074289405684754,0.0,0,1845.0,7129422000.0
SICO,0.5067829457364341,0.0,1,114.0,374784750.0
MAPA,0.5061369509043928,0.0,0,690.0,7832086250.0
KAQI,0.5058139534883721,0.0,3,95.0,3265709100.0
BRNA,0.5032299741602067,0.0,3,680.0,292646250.0
MSKY,0.5032299741602067,0.0,5,68.0,774976400.0
BLES,0.502906976744186,0.0,0,195.0,2792678150.0
WEHA,0.5016149870801033,0.0,3,113.0,506052250.0
MKTR,0.5012919896640827,0.0,1,126.0,62690300.0
GLVA,0.5006459948320414,0.0,2,338.0,11255500.0
BUKA,0.4970930232558139,0.0,0,104.0,10108503600.0
BBRM,0.4932170542635659,1.0,5,119.0,470244000.0
TBIG,0.4922480620155039,0.0,1,1470.0,651338250.0
IATA,0.4899870801033592,0.0,0,113.0,104374255250.0
DCII,0.4886950904392765,0.0,13,201950.0,101187500.0
FUTR,0.48869509043927645,2.0,5,254.0,17480947800.0
MCAS,0.4883720930232558,3.0,4,266.0,563915600.0
NTBK,0.4877260981912145,2.0,8,77.0,1672365900.0
HATM,0.4867571059431524,0.0,0,555.0,10832936750.0
CLAY,0.48578811369509045,0.0,7,2740.0,38353000.0
LPPS,0.4851421188630491,0.0,2,82.0,129658650.0
INCO,0.48481912144702843,0.0,0,4860.0,70163855500.0
OPMS,0.48352713178294576,0.0,6,113.0,305307700.0
BTPS,0.48158914728682173,0.0,0,980.0,2639241750.0
STRK,0.4812661498708011,0.0,2,62.0,559558550.0
ENZO,0.481266149870801,1.0,3,76.0,1520901700.0
MLPT,0.48062015503875977,3.0,24,1220.0,4328473500.0
IKBI,0.480297157622739,0.0,9,535.0,253437000.0
KSIX,0.4796511627906977,0.0,0,416.0,177105600.0
LUCK,0.478359173126615,0.0,2,115.0,510659600.0
UNIC,0.4780361757105943,0.0,0,15000.0,271073750.0
KAEF,0.477390180878553,0.0,3,442.0,436147700.0
GOLD,0.4770671834625323,0.0,7,280.0,34366300.0
BSSR,0.4751291989664082,0.0,0,4960.0,5504143000.0
PMJS,0.4748062015503876,0.0,1,144.0,230861250.0
PGEO,0.4744832041343669,0.0,0,1060.0,11022210750.0
ISAT,0.4741602067183463,0.0,0,2370.0,186673265500.0
ITMG,0.47416020671834624,0.0,0,26700.0,38678945000.0
MTLA,0.47383720930232565,0.0,0,515.0,4679750.0
BOLT,0.4728682170542636,0.0,1,825.0,8363750.0
ELSA,0.47254521963824286,0.0,0,695.0,14797348750.0
PADI,0.4715762273901809,0.0,3,62.0,11431919700.0
LAJU,0.4702842377260982,0.0,2,68.0,1307813050.0
AMRT,0.4699612403100775,0.0,0,1300.0,39213770250.0
CTTH,0.46770025839793283,0.0,6,128.0,1493108150.0
BCIC,0.4677002583979328,0.0,1,135.0,93458550.0
DMND,0.46705426356589147,0.0,0,630.0,21739000.0
CASA,0.4652777777777778,0.0,1,1800.0,20115000.0
