tic,score,vol20,off_lo60,mom20,volsurge,liq,px,r_hari,ara_60h
TOTO,0.43410852713178294,0.006239985305827617,0.052098347551302826,0.025423728813559254,2.919364453750462,101487500.0,242.0,0.008333333333333304,0
BTON,0.43410852713178294,0.016387117323057053,0.0951065509076563,0.016452489240255552,1.030016351319785,6849600.0,370.0,-0.021164021164021163,0
ZATA,0.4337855297157623,0.028631782116201508,0.18588235294117617,-0.12802768166090006,0.839735771003752,3249999100.0,63.0,-0.03076923076923077,1
ISSP,0.4328165374677003,0.021237678034432193,0.0627735641300482,-0.05107377322799589,1.9416761218951826,665240400.0,410.0,-0.009661835748792313,0
DEWA,0.4318475452196382,0.029908455731516743,0.21484424148675374,-0.21515151515151565,0.7927532336680753,188240439600.0,370.0,-0.03141361256544506,0
BMHS,0.42894056847545226,0.009809645470892287,0.14486837284764742,0.04175233708912485,0.8574296102547287,180244650.0,200.0,0.010101010101010166,0
BESS,0.4289405684754522,0.024676135095598004,0.046148014782525726,0.022506251736593264,0.7125326359884905,60037250.0,920.0,0.027932960893854775,0
KLBF,0.42829457364341084,0.024144775451979808,0.14612214312476635,-0.025796178343948983,0.7013027036969608,61148402500.0,760.0,-0.01935483870967747,0
TRON,0.42764857881136953,0.026379211757445863,0.05520991322829771,-0.03151515151515205,1.0830065401792992,1714463700.0,102.0,-0.009708737864077666,0
MKAP,0.4273255813953488,0.008926333437081544,0.08199677938808514,-0.03874105865522148,48.09383434675233,41402750.0,1110.0,-0.017699115044247815,0
ACRO,0.4273255813953488,0.017582714260122242,0.10769230769230731,-0.015384615384615441,1.2136130153544755,323159850.0,63.0,-0.015625,0
MBAP,0.42700258397932817,0.018591881736110722,0.14684386149245454,0.009379700012194236,0.6049556134724483,87385750.0,1695.0,0.008928571428571397,0
SIMP,0.4257105943152455,0.02111416377909234,0.13317508730815208,-0.0004066142586064414,0.6365197043404155,8024329750.0,625.0,-0.015748031496062964,0
LPPF,0.42506459948320413,0.01614303478715471,0.03426654357751513,-0.04086159305993653,10.264220172759456,2052651750.0,1525.0,-0.05572755417956654,0
ADRO,0.42312661498708015,0.01834084824425889,0.06611716631837372,-0.04102878138395638,1.9693791580255775,100524799500.0,2640.0,-0.011235955056179803,0
BELL,0.42248062015503873,0.019882153885040096,0.17241379310344884,-0.07272727272727253,1.0572414182085708,1419265150.0,102.0,-0.04672897196261683,0
LMPI,0.4221576227390181,0.016563004756750987,0.20698759960394297,0.021916167664671082,0.441421751987104,83343650.0,161.0,-0.018292682926829285,0
BPFI,0.4215116279069767,0.01620750946647493,0.07887605191841329,-0.02362204724409478,1.7530765502665595,20014300.0,248.0,0.0,0
NCKL,0.42118863049095606,0.02251632622660651,0.12184137613690926,-0.03616606297018654,0.9035415296376124,40690503750.0,920.0,-0.021276595744680882,0
APLN,0.421188630490956,0.03067857791100651,0.18705501618122966,-0.03727034120734918,0.3549622690198005,2893437950.0,126.0,-0.007874015748031482,1
KMDS,0.4208656330749354,0.008108291864036509,0.08838757396449637,0.04844674556212958,1.1807200238024398,50415000.0,525.0,0.0,0
PTIS,0.4202196382428941,0.0253150110594788,0.03225806451612878,-0.03759398496240618,1.3412730377625983,24828800.0,256.0,-0.03759398496240607,0
BMRI,0.419250645994832,0.014271404781547991,0.05562294074942775,0.004677109376328481,1.4456623624994354,549678379000.0,4260.0,-0.020689655172413834,0
NISP,0.41860465116279066,0.008492974850429812,0.10834729786342634,0.02003277213725707,1.2569510484954978,4728000750.0,1275.0,0.007905138339920903,0
MICE,0.41828165374677,0.018798212447568952,0.08763146117699727,0.00917431192660545,0.7833821294889375,6745750.0,550.0,-0.017857142857142905,0
SILO,0.41795865633074936,0.021375280711193538,0.005198180636776462,-0.0966800133466803,32.98417866764466,693936500.0,1960.0,-0.01754385964912286,0
BBCA,0.41731266149870805,0.013943184898824835,0.10427979265491594,-0.02702702702702675,1.7292175669884682,641545448750.0,6300.0,-0.007874015748031482,0
BTPN,0.4160206718346253,0.023134138953515432,0.10985312117503088,0.07897384305835042,0.14910230945982786,51354000.0,2340.0,-0.004255319148936176,0
CMRY,0.4160206718346253,0.019832076846273448,0.020408163265306145,-0.07032658785814483,5.471279602342543,12115553000.0,4500.0,0.006711409395973256,0
CSAP,0.4156976744186046,0.0180292852463284,0.12813138091675014,0.028167636559245368,0.5349598451247399,45610900.0,290.0,-0.020270270270270285,0
PTPP,0.41408268733850123,0.02305254744674851,0.17267953905573163,-0.005076142131979378,0.3752279534746766,1755456900.0,196.0,-0.005076142131979711,0
SMMA,0.41375968992248063,0.018200655996301208,0.05256241787122207,-0.011143157397677017,1.3112388195134599,28928750.0,20025.0,0.0012499999999999734,0
TLKM,0.41311369509043927,0.012545492251898962,0.07634144273967913,-0.022900763358778664,2.4907183785200675,218506756000.0,2560.0,-0.01158301158301156,0
RGAS,0.41279069767441867,0.0710244000518273,0.1393833439287977,-0.08045534712201385,0.26008403889663717,4775729050.0,107.0,-0.027272727272727226,0
PPRE,0.41279069767441856,0.02787223857567295,0.06423895253682455,0.009900990099009466,0.4454854069091912,2624942550.0,104.0,-0.00952380952380949,0
GJTL,0.4124677002583979,0.014216623577206423,0.21798631476050745,0.03060380479735314,0.3851646537147832,6947239250.0,1335.0,-0.011111111111111072,0
ROCK,0.41214470284237725,0.02717659208618188,0.35966832504145985,-0.04696145441019195,0.09156846302099425,84963750.0,1990.0,-0.0025062656641604564,1
RDTX,0.41198320413436695,0.017431417749856508,0.00979954265341676,-0.015037593984962183,2.6086415915449175,4021250.0,13100.0,-0.0019047619047618536,0
KLAS,0.4111757105943153,0.020415722406236514,0.20204421936758976,0.0028768699654775354,0.30354527504195156,784208550.0,84.0,0.0,0
LPIN,0.41117571059431524,0.005553954879067177,0.09045226130653106,0.03333333333333299,1.2580532485645002,39794500.0,434.0,0.0,0
PNGO,0.4089147286821706,0.021712808875362758,0.07115453475881073,0.02287714727672374,0.5726041943190868,7534000.0,3600.0,0.0027855153203342198,0
NSSS,0.40891472868217055,0.03139231387730231,0.3202160570581629,-0.12974296205630342,0.3410874327536157,4857882000.0,790.0,-0.024691358024691357,0
FILM,0.4076227390180879,0.06705028899747796,0.07352941176470607,-0.23958333333333315,0.7405122982118855,24233990500.0,730.0,-0.07594936708860756,0
AMOR,0.40665374677002586,0.010110428627239437,0.16397390088550545,0.033519553072625774,0.6438560104554365,35197000.0,370.0,0.0,0
SKBM,0.4060077519379845,0.012677708070866378,0.3159603106537061,-0.027777777777778123,0.6993375564525798,100084000.0,525.0,-0.01869158878504673,2
GUNA,0.40471576227390177,0.01389419923192002,0.37736498108015226,0.0185185185185186,0.2017430174155023,40894600.0,220.0,0.0,0
FAPA,0.4037467700258398,0.003444127613226797,0.017205116712064594,2.2597848684968724e-05,7.550760996822211,7473750.0,7425.0,-0.003355704697986628,0
CBRE,0.4037467700258398,0.02767269244754639,0.12595914469869918,-0.030296889249164516,0.5000703926981561,9022597750.0,725.0,0.00694444444444442,0
GGRP,0.40342377260981915,0.01988465775157307,0.10195204706914862,0.058064516129032295,0.3521928891238668,349158100.0,328.0,0.0,0
MDKI,0.4027777777777778,0.008517053755217179,0.08023194710515091,5.511463844776188e-05,1.547656199529898,40246600.0,191.0,0.0,0
BKSL,0.4027777777777778,0.020535519704908488,0.15911400121926444,-0.09276844411979501,0.9864317235673418,10411377650.0,69.0,0.014705882352941124,0
BEST,0.4024547803617571,0.039441456319909356,0.1452062839524304,-0.051144538914323134,0.2934556994810223,7221986500.0,124.0,-0.015873015873015928,0
FWCT,0.4021317829457364,0.025556898287712723,0.1904851377250012,-0.04359376886849364,0.43205120160632493,358582500.0,90.0,-0.01098901098901095,0
KBLV,0.40116279069767447,0.03160263990024806,0.4456281128943005,-0.20728417266187027,0.22971414692401276,1941675800.0,123.0,-0.03149606299212604,0
DWGL,0.40083979328165376,0.04178393264115123,0.20834392523364453,-0.2743771428571431,0.41149893004875465,1836111700.0,222.0,-0.017699115044247815,1
SCNP,0.40051679586563305,0.009929955353812357,0.09193654028091092,0.012435897435896681,1.1194603054983914,41401200.0,159.0,0.019230769230769162,0
BRAM,0.40019379844961245,0.01458503112855867,0.05528636656435926,0.008577599506325084,1.1330430575713595,2067000.0,4680.0,-0.004255319148936176,0
INPP,0.39987080103359174,0.017282282843034267,0.07861193486291018,-0.084599081596609,2.412062241271447,75127000.0,710.0,-0.04054054054054057,0
ASRI,0.39987080103359174,0.023436854720097804,0.16205714285714246,0.00013114754098331183,0.238048821080106,1511760900.0,124.0,-0.008000000000000007,0
MNCN,0.39906330749354,0.021158927947647697,0.0,-0.05999999999999994,4.9180393226131995,9402793200.0,188.0,-0.06000000000000005,0
YELO,0.3972868217054263,0.05156195729438474,0.14708172805260133,-0.1581296730275641,0.4060763404234724,7434066700.0,92.0,-0.04166666666666663,0
HERO,0.3969638242894057,0.011547827740715664,0.12718329234232417,-0.00588235294117645,1.0506491077107263,53458000.0,338.0,0.0,0
RUIS,0.3969638242894057,0.023949565952230162,0.1316526610644262,-0.009803921568627083,0.42449049662294003,200381400.0,202.0,0.010000000000000009,0
BUDI,0.396640826873385,0.020490291099319102,0.13148953699126698,0.009463244757362377,0.3815694080361277,54207700.0,226.0,0.0,0
FMII,0.3964793281653747,0.022107219419795328,0.0,-0.1069143700787405,13.825295508274232,4230000.0,238.0,-0.06299212598425197,0
AKPI,0.39599483204134367,0.01825607197743388,0.0805070980521625,-0.008748114630467763,0.8678514567476605,208402600.0,530.0,-0.02752293577981646,0
MSTI,0.39567183462532307,0.012039886760654823,0.1437443395005824,0.03030303030303072,0.6199275297296151,1838823000.0,1360.0,0.011152416356877248,0
KMTR,0.3950258397932817,0.017783941044190413,0.11845730027548096,0.05037729069349539,0.3781130091984231,19025000.0,252.0,-0.007874015748031482,0
TPMA,0.39405684754521964,0.01331502510147181,0.12441724941724885,0.025784157363104576,0.665274005577529,610055100.0,476.0,0.0,0
SKLT,0.39405684754521964,0.015207432660830402,0.21132075471697997,0.009433962264150608,0.3719439404696169,38031000.0,204.0,-0.02857142857142858,0
APIC,0.39405684754521964,0.04543965057637093,0.01980198019801982,-0.24341818181818176,1.118986959580436,579601750.0,412.0,0.0,0
EMTK,0.3932493540051679,0.02871853224697132,0.0,-0.1002595405171588,1.9442882184238357,21260009400.0,468.0,-0.052631578947368474,0
